id,product,PREC_price_change_avg,C_price_change_avg,POSTC_price_change_avg
1,Accessories,0.975326,0.982458,1.01532
2,Ammo,0.99922,0.992264,0.99165
3,Commodity,0.995167,0.998642,1.00018
4,Drones,0.979955,0.996077,0.980842
5,Faction Ships,0.993822,1.03697,1.02003
6,Ice Products,0.993781,1.06334,0.947363
7,Implant,0.997805,1.00808,1.00692
8,Implants,0.995807,0.98488,1.01188
9,SKINs,1.06671,1.03146,0.98905
10,Skills,0.977035,1.00854,0.990422
11,Tech I modules,0.971501,0.998859,1.00316
12,Tech I ships,1.03414,1.04656,0.995233
13,Tech II Rigs,0.973459,0.986293,0.98524
14,Tech II modules,1.00705,1.01128,0.980855
15,Tech II ships,0.995639,1.00532,0.98481
16,Tech III ships,1.00385,1.00501,1.00184
